Screen_Time_Total,Social_Media_Time,Study_Time_In_Screen,Gaming_Time_Total,Sleep_Time,Study_Time_Offline,Outdoor_Time,Attendance_Percentage,Assignments_Per_Week,Backlogs,Notifications,Games_Installed,GPA,Lecture_Hours,Late_Night_SM,Active_Passive_Ratio,Gender,Residence,Part_Time_Job,Residence_Score,Stress_Level,Mental_Health_Rating,Productivity_Index
3.0,0.7,0.92,1.39,7.21,4.87,2.47,75.6,1,0,84,2,8.71,4.52,0.44,0.26,0,Hostel,0,0.8,1.99,5.0,3.45
7.12,1.01,1.63,1.2,6.16,5.7,1.91,65.82,1,2,77,3,5.81,2.64,0.76,0.15,1,Home,0,1.0,5.21,2.87,3.97
7.93,1.3,1.17,0.93,6.36,2.92,1.75,82.14,3,0,172,4,6.41,4.71,0.28,0.5,1,Home,0,1.0,4.81,2.5,2.92
7.18,2.67,2.78,1.73,6.73,2.82,3.89,67.25,3,0,75,3,7.88,7.24,0.74,0.49,1,Home,0,1.0,7.77,2.5,3.32
6.34,1.57,1.25,0.91,6.7,4.31,2.3,68.54,3,0,144,3,6.83,5.85,1.13,0.29,0,PG,0,0.6,5.38,2.78,3.15
8.11,0.73,2.35,2.23,5.61,3.56,0.75,79.33,3,0,94,3,7.36,6.21,0.0,0.16,0,Hostel,0,0.8,6.9,1.29,3.31
8.04,4.54,1.63,0.0,6.61,2.47,0.98,67.83,2,0,117,4,5.77,8.0,0.74,0.33,0,Hostel,0,0.8,6.72,1.24,2.35
6.45,3.91,1.31,0.0,8.15,3.21,3.87,60.31,3,1,94,5,8.4,3.27,0.66,0.55,0,Hostel,0,0.8,4.99,3.44,2.84
7.04,4.29,2.12,0.0,6.94,2.91,3.74,74.9,2,0,137,1,8.15,7.8,0.4,0.5,1,Hostel,0,0.8,6.4,3.17,2.97
6.4,2.25,1.51,2.65,7.4,2.96,3.66,69.15,2,0,122,2,5.77,8.0,1.08,0.6,0,Hostel,0,0.8,6.05,3.32,2.83
6.93,3.68,0.57,2.68,8.49,2.77,2.07,58.16,3,0,64,1,7.56,5.67,0.33,0.45,1,Home,1,1.0,5.36,3.21,2.22
3.0,1.1,1.06,0.85,5.7,1.79,2.39,68.68,2,0,104,1,7.6,8.0,1.16,0.6,1,Hostel,0,0.8,5.88,3.92,2.43
6.84,1.08,1.38,1.88,6.34,3.52,2.1,85.18,3,2,191,4,7.5,4.91,1.56,0.16,1,Hostel,0,0.8,7.91,1.37,3.12
5.14,1.88,3.26,0.0,6.32,4.71,1.44,67.78,3,0,62,3,9.57,3.23,0.37,0.73,1,Home,0,1.0,5.86,2.92,3.98
7.41,1.96,2.78,2.67,8.09,2.36,2.99,77.48,2,1,164,3,7.64,2.68,0.98,0.62,1,Hostel,0,0.8,5.45,2.86,2.94
6.2,1.86,1.51,2.84,6.78,3.59,3.49,69.8,2,0,53,3,7.98,8.0,0.72,0.42,0,PG,1,0.6,6.79,2.84,3.02
7.77,3.31,1.6,1.55,8.55,2.6,2.73,86.05,2,1,50,2,6.4,6.67,1.4,0.48,0,PG,0,0.6,5.77,2.81,2.83
